snapped_at,price,market_cap,total_volume
2015-12-17,456.473,6834975642,1302614351
2015-12-18,463.816,6946908499,1135226734
2015-12-19,462.053,6922223917,556941127
2015-12-20,441.129,6610549658,1175787491
2015-12-21,437.809,6562505170,1416880180
2015-12-22,436.237,6540512247,1296402582
2015-12-23,442.821,6640942255,955949147.6
2015-12-24,454.907,6823821081,1418671442
2015-12-25,455.742,6838203626,1058738142
2015-12-26,417.092,6260008700,1725069506
2015-12-27,423.925,6364767558,1378749291
2015-12-28,420.708,6318056014,1310931885
2015-12-29,432.154,6491698546,1176234727
2015-12-30,426.811,6413208735,1227648166
2015-12-31,431.139,6479728151,1310033275
2016-01-01,434.427,6530621624,1338781511
2016-01-02,434.326,6530688608,769869067.6
2016-01-03,430.198,6470199430,984185979.6
2016-01-04,433.534,6522334778,1021957723
2016-01-05,432.115,6502628563,758209345.9
2016-01-06,431.343,6492499351,833341869.3
2016-01-07,456.434,6870164692,1637948558
2016-01-08,454.6963,6847658074,1501742594
2016-01-09,448.709,6759240199,1085553694
2016-01-10,447.207,6738604517,1361099090
2016-01-11,448.349,6757695468,1182725806
2016-01-12,445.792,6721027667,888588584.8
2016-01-13,432.12,6516499236,1584488641
2016-01-14,429.243,6474583370,1266295629
2016-01-15,365.912,5519407460,1576734614
2016-01-16,384.813,5806905133,1710583688
2016-01-17,386.356,5830189311,1476285801
2016-01-18,385.132,5814809591,1357696059
2016-01-19,379.015,5723770826,1157108221
2016-01-20,418.848,6326929406,1674254290
2016-01-21,407.815,6161646249,1484721462
2016-01-22,377.21,5700897323,1626853796
2016-01-23,389.641,5889248377,755378842.1
2016-01-24,403.056,6094932221,1458284444
2016-01-25,392.326,5934195570,1332190241
2016-01-26,392.456,5937437390,1231352757
2016-01-27,394.491,5968224752,1023661370
2016-01-28,379.552,5745544310,1144817696
2016-01-29,378.912,5737400249,1378222858
2016-01-30,376.921,5709052773,926767404.4
2016-01-31,364.352,5520342696,795209372.7
2016-02-01,371.041,5623172735,1028395381
2016-02-02,372.868,5652529733,669492000.7
2016-02-03,368.124,5582278352,701511710.6
2016-02-04,388.376,5891023100,1068491901
2016-02-05,385.733,5852736452,1099201402
2016-02-06,374.905,5690251854,979578026
2016-02-07,375.517,5701239913,551083226.5
2016-02-08,371.136,5636117688,542257471.1
2016-02-09,373.909,5679902055,465479007.4
2016-02-10,379.829,5771368715,814090887.7
2016-02-11,377.058,5730998807,503979335.1
2016-02-12,382.72,5818750496,658159244.5
2016-02-13,390.424,5937412022,740171994.7
2016-02-14,404.144,6147686974,1319015073
2016-02-15,399.379,6076721221,1388195100
2016-02-16,407.013,6194279970,1111797900
2016-02-17,416.85,6345582495,1296165324
2016-02-18,421.422,6417045472,1445224879
2016-02-19,419.377,6387331883,601898504.3
2016-02-20,441.12,6720209556,1385245440
2016-02-21,438.65,6684028071,1506908217
2016-02-22,437.803,6672478907,1166708341
2016-02-23,420.302,6407178256,1465084347
2016-02-24,423.187,6452416826,1457408416
2016-02-25,423.142,6453391535,1416389937
2016-02-26,427.029,6514156583,58325277.64
2016-02-27,432.139,6593663290,595150632.4
2016-02-28,432.797,6605163875,546124185.9
2016-02-29,436.919,6669535766,1847224331
2016-03-01,431.371,6586086154,2515777834
2016-03-02,424.485,6482862266,2052408229
2016-03-03,420.171,6418406145,2737847218
2016-03-04,409.408,6255529066,2408874554
2016-03-05,397.241,6071173237,2766255767
2016-03-06,404.912,6189869498,2521764887
2016-03-07,413.74,6326260440,2361080396
2016-03-08,411.877,6299329213,1845168034
2016-03-09,412.319,6307800374,1705210743
2016-03-10,416.292,6370256294,2166212980
2016-03-11,419.299,6417916284,2440375017
2016-03-12,410.801,6289332500,2292018374
2016-03-13,412.495,6316587497,1845648236
2016-03-14,414.585,6350177716,1803876534
2016-03-15,415.641,6367983806,2111129338
2016-03-16,416.544,6383495146,1895643174
2016-03-17,418.4,6413413020,1743173853
2016-03-18,408.28,6259667304,2438769296
2016-03-19,406.739,6237403576,1764836350
2016-03-20,411.882,6317806513,1440329762
2016-03-21,411.091,6307102004,2250456010
2016-03-22,416.36,6389481378,2041042450
2016-03-23,418.076,6417382985,1985257305
2016-03-24,414.883,6369854280,2021330255
2016-03-25,415.743,6384534070,1933831282
